pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
HD 80653 b,5.61,1.621,0.71957926,0.01657,1.15,1.199,5959.0,0.255
Kepler-1542 d,0.59,0.87,5.99273738,0.0629,0.94,0.99,5564.0,0.06
Kepler-666 b,6.35,2.4,4.49876092,0.0542,1.03,1.05,5887.0,0.01
Kepler-211 c,18.3,1.29,6.04045,0.062,0.867,0.816,5123.0,0.151
Kepler-203 c,749.9,2.47,5.370647,0.061,1.06,1.114,5821.0,0.08
GJ 674 b,11.09,3.33,4.6938,0.039,0.35,0.36463,3600.0,-0.28
OGLE-TR-182 b,320.995,12.666,3.9791,0.051,1.14,1.14,5924.0,0.37
HD 69830 c,11.8,3.46,31.56,0.186,0.86,0.886947,5385.0,-0.05
GJ 3021 b,1071.04,13.1,133.71,0.49,0.9,0.9,5540.0,0.1
HD 221287 b,982.05,13.1,456.1,1.25,1.25,1.13864,6304.0,-0.03
HD 47536 b,2330.0,12.6,712.13,1.93,2.1,23.47,4380.0,-0.65
HD 107148 b,66.741,9.6,48.056,0.269,1.12,1.169193,5797.0,0.314
HD 179949 b,291.12,13.9,3.092514,0.0443,1.21,1.266865,6168.0,0.137
HD 188015 b,476.72,13.6,461.2,1.203,1.09,1.125296,5746.0,0.289
HD 27442 b,495.8,13.5,428.1,1.271,1.23,3.18,4846.0,0.42
HD 46375 b,71.8,10.0,3.023573,0.0398,0.92,0.914196,5285.0,0.24
HAT-P-2 b,2866.81223114,10.659759,5.6335158,0.06814,1.33,1.39,6380.0,0.18
HD 109749 b,85.8141,11.1,5.239891,0.0615,1.13,1.22,5824.0,0.24
HD 149143 b,422.7139,13.6,4.07182,0.053,1.2,1.44,5856.0,0.29
HD 224693 b,222.481,14.0,26.6904,0.191,1.31,1.93,5894.0,0.27
HD 231701 b,359.1479,13.7,141.63,0.567,1.21,1.53,6101.0,0.05
HIP 14810 b,1239.537,13.0,6.673892,0.0696,1.01,1.07,5544.0,0.24
HIP 14810 d,187.5197,14.1,981.8,1.94,1.01,1.07,5544.0,0.24
HD 207832 b,177.9848,14.2,160.07,0.586,1.05,0.89,5726.0,0.14
HD 37605 c,1013.8777,13.1,2720.0,3.74,0.94,0.91,5329.0,0.27
HD 1605 c,1150.5446,13.0,2149.0,3.584,1.33,3.49,4915.0,0.22
HD 55696 b,1357.12729789,12.9,1827.0,3.18,1.29,1.52,6012.0,0.37
HD 148164 c,1640.0028,12.8,5062.0,6.15,1.21,1.34,6032.0,0.24
HD 211810 b,212.9461,14.0,1558.0,2.656,1.03,1.13,5652.0,0.17
HD 221416 b,60.5,9.17,14.2767,0.1228,1.212,2.943,5080.0,-0.08
Kepler-595 c,3.3,1.009,12.38602,0.0983,0.93,0.821,5138.5,0.406
Kepler-595 b,17.4,3.708,25.3029092,0.1582,0.93,0.821,5138.5,0.406
PSR B1257+12 b,0.02,0.338,25.262,0.19,1.4,,,
PSR B1257+12 c,4.3,1.91,66.5419,0.36,1.4,,,
OGLE-TR-211 b,327.351,15.244,3.67724,0.051,1.33,1.64,6325.0,0.11
Lupus-TR-3 b,257.431,9.976,3.91405,0.0464,0.87,0.82,5000.0,
2MASS J04414489+2301513 b,2383.6,12.6,,15.0,0.019,0.231916,2936.0,
