pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met,pl_masse,log_mass,log_radius,log_period,mass_radius_ratio
Kepler-1981 b,62.5,9.23,453.54212,1.3292,1.519,3.006,5874.0,0.12,62.5,1.7958800173440752,0.9652017010259121,2.65661762576028,6.771397616468039
TOI-6041 c,77.9,10.5,88.0,0.3721,0.885,0.879,5445.0,0.104,77.9,1.8915374576725645,1.021189299069938,1.9444826721501687,7.419047619047619
Kepler-1082 b,1.46,1.12,1.543206604,0.02571,1.03,1.14,5923.0,-0.06,1.46,0.1643528557844371,0.04921802267018165,0.1884240731600775,1.3035714285714284
Kepler-431 d,1.41,1.11,11.922,0.1045,1.071,1.092,6004.0,0.07,1.41,0.14921911265537988,0.045322978786657475,1.0763491174934587,1.2702702702702702
WASP-170 b,508.528,12.285064,2.34478022,0.0337,0.93,0.938,5600.0,0.22,508.528,2.706314870554162,1.0893774233130018,0.3701021418424036,41.39400494779677
K2-74 b,5.95,2.31,19.5666,0.1402,0.96,0.98,6060.0,-0.21,5.95,0.7745169657285496,0.36361197989214433,1.2915153668168047,2.5757575757575757
TOI-1246 d,5.4,3.43139739,18.654874,0.132,0.8889,0.8649,5213.0,0.168,5.4,0.7323937598229685,0.5354710165960417,1.270792320045863,1.5737028930945245
Kepler-372 d,3.5,1.69,30.092568,0.201,1.202,1.137,6509.0,-0.13,3.5,0.5440680443502757,0.22788670461367352,1.4784592505729661,2.0710059171597632
HD 25723 b,794.5710175,13.3,457.01,1.49,2.12,13.76,4766.0,-0.03,794.5710175,2.90013271983163,1.1238516409670858,2.659925703127408,59.74218176691729
Kepler-84 b,40.0,2.23,8.726,0.0827,1.0,1.43,6039.0,-0.07,40.0,1.6020599913279623,0.34830486304816066,0.9408152086508014,17.937219730941703
TOI-3353.01,7.59,2.6667555,4.6657965,0.060118218,1.332089,1.0207,6365.0,,7.59,0.8802417758954804,0.42598319946624164,0.6689257929973019,2.846155187455318
Kepler-1555 b,3.22,1.61,8.10501635,0.0805,1.04,1.06,5866.0,0.03,3.22,0.5078558716958309,0.20682587603184974,0.9087538952743076,2.0
Kepler-1725 b,8.31,2.8125177,16.71990013,0.13263,1.049,1.085,6020.0,0.0,8.31,0.919601023784111,0.449095264270758,1.2232336790169065,2.9546480720814667
Kepler-120 b,8.5,2.15,6.312501,0.055,0.654,0.534,4096.0,-0.12,8.5,0.9294189257142927,0.33243845991560533,0.8002014599258382,3.9534883720930236
Kepler-627 b,13.4,3.73,40.6994443,0.22661,1.3,1.49,6424.0,0.05,13.4,1.1271047983648077,0.5717088318086876,1.6095884795178204,3.5924932975871315
Kepler-1326 b,16.3,4.18,42.3514267,0.2743,1.45,1.74,6725.0,0.02,16.3,1.212187604403958,0.6211762817750351,1.6268680450681612,3.8995215311004787
TOI-1184 b,6.8,2.39,5.748433803,0.056027,0.71,0.69,4534.0,0.017,6.8,0.8325089127062363,0.3783979009481377,0.7595495345387815,2.8451882845188283
G 192-15 b,1.03,1.02,2.27476,0.01723,0.132,0.170718,2999.0,,1.03,0.012837224705172217,0.00860017176191757,0.35693558289470256,1.0098039215686274
HATS-61 b,1080.622,13.394755,7.817953,0.07908,1.076,1.664,5542.0,0.247,1080.622,3.0336738049404923,1.1269347744488079,0.8930930552108349,80.67501047984827
Kepler-684 b,11.2,3.36,6.770302008,0.064,0.89,0.86,5493.0,-0.11,11.2,1.0492180226701815,0.526339277389844,0.8306080420208106,3.333333333333333
WASP-159 b,174.8065,15.46842,3.840401,0.0538,1.41,2.11,6120.0,0.22,174.8065,2.242557577392481,1.189445955565888,0.5843765741057545,11.30086330730611
K2-26 b,7.61,2.67,14.5665,0.0962,0.56,0.52,3785.0,-0.13,7.61,0.8813846567705729,0.42651126136457523,1.1633552131779168,2.850187265917603
TIC 9344899 b,6170.0,9.16,8.5821566,0.0815,0.98,1.06,5800.0,0.07,6170.0,3.7902851640332416,0.9618954736678504,0.9335964349106315,673.5807860262008
WASP-194 b,373.13054982,15.47960235,3.183387,0.047,1.29,1.409,6405.0,0.0,373.13054982,2.571860808073516,1.189759800053664,0.5028894384161471,24.104659886175952
Kepler-1956 b,1.32,1.08940238,5.943719864,0.0563,0.671,0.682,4391.0,0.04,1.32,0.12057393120584989,0.037188319734375815,0.7740583323161161,1.2116735048807221
Kepler-352 c,2.07,1.24,16.332995,0.118,0.798,0.781,5212.0,-0.11,2.07,0.3159703454569177,0.09342168516223506,1.2130658291156937,1.6693548387096773
Kepler-1175 b,9.22,2.99,37.94563,0.2181,0.9,0.86,5453.0,-0.04,9.22,0.9647309210536293,0.4756711883244297,1.5791617676843206,3.0836120401337794
TOI-3523 A b,435.42491759,15.9727975,2.30458952,0.03559,1.131,1.448,6450.0,-0.366,435.42491759,2.638913278315999,1.2033809857949513,0.3625935826219262,27.26040429611657
Kepler-1586 b,2.92,1.52,15.6049212,0.12208,1.45,1.75,6681.0,0.06,2.92,0.4653828514484183,0.18184358794477254,1.1932615799547908,1.9210526315789473
TOI-1062 c,9.78,3.1,7.972,0.08,0.94,0.84,5328.0,0.14,9.78,0.9903388547876014,0.4913616938342727,0.90156729002845,3.154838709677419
Kepler-30 b,11.3,3.9,29.33434,0.18,0.99,0.95,5498.0,0.18,11.3,1.0530784434834197,0.5910646070264992,1.467376321371762,2.897435897435898
Kepler-1285 b,0.871,0.97,14.7967458,0.12758,1.2,1.28,6170.0,0.16,0.871,-0.059981844992336796,-0.01322826573375516,1.1701662129286894,0.8979381443298969
Kepler-103 c,58.47,5.4539,179.60978,0.6679,1.212,1.492,6047.0,0.15,58.47,1.7669330938372838,0.7367071706708223,2.2543299809080812,10.720768624287206
Kepler-433 b,896.24,16.25,5.33408384,0.0679,1.46,2.26,6360.0,-0.01,896.24,2.9524243229642275,1.2108533653148932,0.7270598375561838,55.15323076923077
CoRoT-8 b,69.92,6.39,6.21229,0.063,0.88,0.77,5080.0,0.3,69.92,1.8446014196263467,0.8055008581584001,0.7932517211164108,10.94209702660407
Kepler-361 c,6.9,2.52,55.188023,0.3,1.191,1.343,6169.0,0.04,6.9,0.8388490907372553,0.4014005407815441,1.7418448366170056,2.738095238095238
Kepler-568 b,5.73,2.26,11.02347475,0.0794,0.55,0.53,3768.0,0.11,5.73,0.75815462196739,0.35410843914740087,1.0423185116561542,2.535398230088496
Kepler-1923 b,4.5,1.95958179,52.60969925,0.2846,1.109,1.294,5881.0,0.16,4.5,0.6532125137753437,0.29216339499165095,1.7210658191049186,2.2964083576220617
Kepler-1208 b,5.99,2.32,11.08507637,0.0901,0.8,0.76,5001.0,-0.03,5.99,0.7774268223893114,0.3654879848908996,1.0447386895078214,2.5818965517241383
Kepler-406 c,2.71,0.85,4.62332,0.05531,1.07,1.07,5538.0,0.18,2.71,0.4329692908744057,-0.07058107428570728,0.6649539538803473,3.1882352941176473
Kepler-1910 b,1.78,1.184,5.688769817,0.0536,0.636,0.639,4234.0,-0.02,1.78,0.250420002308894,0.07335170238690095,0.7550183613949165,1.5033783783783785
Kepler-1655 b,5.4,2.213,11.8728787,0.1029,1.03,1.03,6148.0,-0.24,5.4,0.7323937598229685,0.34498141392725795,1.0745560308291098,2.4401265250790782
HD 191939 g,13.5,3.74,284.0,0.812,0.81,0.94,5348.0,-0.15,13.5,1.130333768495006,0.5728716022004802,2.4533183400470375,3.6096256684491976
HD 87816 c,3877.5065654,12.4,7596.0,10.14,2.41,9.0,4989.0,0.14,3877.5065654,3.588552541834341,1.0934216851622351,3.88058495606498,312.70214237096775
Kepler-185 c,4.74,2.02,20.729042,0.139,0.763,0.806,5208.0,-0.14,4.74,0.6757783416740851,0.3053513694466238,1.3165792314847167,2.3465346534653464
TOI-707 b,6.42,2.416,52.79918,0.275,0.99,0.978,5424.0,0.16,6.42,0.8075350280688532,0.3830969299490942,1.7226271777565296,2.6572847682119205
Kepler-738 b,6.8,2.5,24.58721573,0.1552,0.86,0.82,5327.0,-0.09,6.8,0.8325089127062363,0.3979400086720376,1.390709351774122,2.7199999999999998
Kepler-658 b,3.29,1.63,1.287076762,0.0188,0.63,0.6,4103.0,-0.04,3.29,0.5171958979499743,0.21218760440395779,0.10960444925005246,2.0184049079754605
HD 235088 b,4.15,1.982,7.4341325,0.0706,0.849,0.772,5075.0,-0.02,4.15,0.6180480967120927,0.2971036501492565,0.8712302973443237,2.0938446014127146
Kepler-93 b,4.66,1.478,4.72673978,0.05343,0.911,0.919,5669.0,-0.18,4.66,0.6683859166900001,0.16967443405880692,0.6745616938576342,3.1529093369418133
Kepler-596 b,11.8,3.46,21.30022655,0.15161,1.21,1.32,6267.0,0.03,11.8,1.0718820073061255,0.5390760987927766,1.3283842226355282,3.410404624277457
K2-174 b,7.27,2.6,19.562307,0.126,0.7,0.676,4455.0,0.113,7.27,0.8615344108590378,0.414973347970818,1.2914200702005056,2.796153846153846
Kepler-1357 b,2.18,1.28,3.0091324,0.041,0.93,0.9,5597.0,-0.06,2.18,0.33845649360460484,0.10720996964786837,0.4784412968542015,1.703125
Kepler-1807 b,7.77,2.70393215,10.86060047,0.0988,1.087,1.496,6455.0,-0.36,7.77,0.8904210188009143,0.4319957896178596,1.0358538375546957,2.8735928155593697
GJ 3378 b,2.3,1.32,21.45,0.09673,0.262,0.275,3340.0,-0.09,2.3,0.36172783601759284,0.12057393120584989,1.331427296520743,1.7424242424242422
Kepler-256 b,3.15,1.59,1.620493,0.027,1.037,1.301,5551.0,0.26,3.15,0.4983105537896005,0.2013971243204515,0.20964715936209524,1.981132075471698
NGTS-31 b,355.96781584,18.04645893,4.162734,0.064,0.96,1.7,5710.0,0.0,355.96781584,2.551410733829774,1.2563919974864939,0.6193786602206558,19.72507832260919
TOI-2525 c,208.8132634,10.13291855,49.2519,0.249,0.849,0.785,5096.0,0.14,208.8132634,2.3197580807214533,1.005734551737804,1.6924229890183868,20.607415560445812
Kepler-574 b,6.3,2.39,7.65880414,0.0723,0.95,0.91,5612.0,-0.01,6.3,0.7993405494535817,0.3783979009481377,0.8841609633736509,2.6359832635983262
Kepler-1062 b,3.75,1.76,9.30412078,0.0748,0.75,0.7,4597.0,0.11,3.75,0.5740312677277188,0.24551266781414982,0.9686753394834037,2.1306818181818183
HD 28185 c,1906.970442,12.8,9090.0,8.5,0.974,1.048,5602.0,0.19,1906.970442,3.2803439615432364,1.1072099696478683,3.9585638832219674,148.98206578125
K2-317 b,8.91,2.93,6.22,0.0542,0.403,0.379,3387.0,,8.91,0.9498777040368748,0.4668676203541095,0.7937903846908186,3.040955631399317
Kepler-1375 b,3.68,1.74,3.3004192,0.0471,1.47,1.78,6704.0,0.09,3.68,0.5658478186735176,0.24054924828259971,0.5185691049337853,2.1149425287356323
TOI-6478 b,19.2,4.6,34.005019,0.1136,0.23,0.234,3230.0,-0.53,19.2,1.2833012287035497,0.6627578316815741,1.531543021840421,4.173913043478261
Kepler-1338 b,0.721,0.92,0.935118057,0.01937,1.04,1.05,5909.0,0.0,0.721,-0.14206473528057098,-0.036212172654444715,-0.02913355675631055,0.783695652173913
WASP-59 b,274.276,8.687,7.919585,0.0697,0.719,0.613,4650.0,-0.15,274.276,2.438187807154009,0.9388698215129866,0.898702424401091,31.573155289513068
K2-63 c,14.5,3.9,25.4556,0.189,1.4,1.63,6771.0,,14.5,1.1613680022349748,0.5910646070264992,1.4057833380112734,3.717948717948718
Kepler-1539 b,7.75,2.7,133.3036741,0.4765,0.84,0.8,5176.0,-0.01,7.75,0.8893017025063102,0.43136376415898736,2.124842119551641,2.8703703703703702
Kepler-614 b,6.3,2.39,14.03491514,0.1027,0.85,0.81,5268.0,-0.07,6.3,0.7993405494535817,0.3783979009481377,1.1472097910822392,2.6359832635983262
Kepler-257 c,25.2,5.41,6.581484,0.066,0.916,1.037,5180.0,0.4,25.2,1.4014005407815442,0.7331972651065695,0.81832382983663,4.65804066543438
TOI-5398 b,58.7,10.3,10.590547,0.098,1.146,1.051,6000.0,0.09,58.7,1.7686381012476144,1.0128372247051722,1.024918391924912,5.699029126213592
TOI-1820 b,731.0053361,12.778238,4.860674,0.061,1.04,1.51,5734.0,0.14,731.0053361,2.8639205471771856,1.1064709727868949,0.686696494403322,57.207052811193535
Kepler-1220 b,2.92,1.52,7.42693741,0.0734,1.0,0.99,5842.0,-0.04,2.92,0.4653828514484183,0.18184358794477254,0.8708097639443896,1.9210526315789473
Kepler-192 d,1.04,1.02,6.47027579,0.0686,0.94,0.94,5487.0,0.13,1.04,0.01703333929878037,0.00860017176191757,0.8109227924959792,1.0196078431372548
Kepler-825 b,2.96,1.53,3.77360059,0.0453,1.03,1.08,5976.0,-0.08,2.96,0.4712917110589386,0.1846914308175988,0.5767559311393108,1.934640522875817
Kepler-1414 b,2.04,1.23,3.51576315,0.0426,0.8,0.75,4951.0,-0.02,2.04,0.3096301674258988,0.08990511143939793,0.5460196098281315,1.6585365853658538
HD 86950 b,1144.188,13.0,1270.0,2.72,1.66,8.8,4805.0,0.04,1144.188,3.0584973886655247,1.1139433523068367,3.103803720955957,88.01446153846155
Kepler-1150 b,1.04,1.02,2.787868386,0.0382,0.76,0.72,4754.0,0.01,1.04,0.01703333929878037,0.00860017176191757,0.44527226706472695,1.0196078431372548
Kepler-1765 b,6.78,2.49508857,10.41889954,0.0917,0.946,1.064,5692.0,0.04,6.78,0.8312296938670634,0.3970859667047136,1.017821850542759,2.7173384069488162
Kepler-831 b,2.15,1.27,5.62153941,0.05984,0.99,0.97,5732.0,0.02,2.15,0.33243845991560533,0.10380372095595687,0.7498552596474799,1.6929133858267715
K2-257 b,0.498,0.83,1.60588,0.0216,0.52,0.5,3725.0,-0.03,0.498,-0.30277065724028246,-0.08092190762392612,0.20571308933310473,0.6
Kepler-27 d,7.78,2.7061946,6.546289921,0.06578,0.926,0.817,5251.0,0.21,7.78,0.890979596989689,0.43235902310693064,0.8159952353597463,2.874885642000764
HIP 29442 d,5.14,1.538,6.429575,0.0673,0.901,0.98,5289.0,0.24,5.14,0.7109631189952758,0.18695633546541224,0.8081822666637312,3.342002600780234
Kepler-196 b,4.27,1.9,20.739886,0.138,0.839,0.782,5128.0,0.03,4.27,0.6304278750250238,0.2787536009528289,1.3168063648926072,2.2473684210526312
Kepler-806 b,1.55,1.14,8.09219642,0.07684,0.99,1.16,5770.0,0.0,1.55,0.1903316981702915,0.05690485133647256,0.9080664157555693,1.3596491228070178
Kepler-1854 b,7.21,2.58746104,39.83110046,0.20894,0.8,0.759,5026.0,0.0,7.21,0.857935264719429,0.4128738192416314,1.6002223053323363,2.786515386527327
TOI-5624 b,9.4,2.314,3.3903473,0.04201,0.858,0.82,5327.0,-0.023,9.4,0.9731278535996987,0.3643633546157308,0.5302441886891954,4.062229904926534
Kepler-739 b,11.0,3.32,12.53248465,0.1054,0.93,0.9,5601.0,-0.08,11.0,1.0413926851582251,0.5211380837040362,1.0980371813541614,3.313253012048193
HD 204313 b,1466.7780983,12.9,2041.11539,3.185,1.03,1.1,5767.0,0.18,1466.7780983,3.166364416520043,1.110589710299249,3.30986755729996,113.7037285503876
Kepler-129 d,2637.9757781,12.6,2646.0,4.0,1.178,1.653,5770.0,0.29,2637.9757781,3.4212708035356663,1.100370545117563,3.422589839851482,209.3631569920635
Kepler-389 c,2.73,1.46,14.51143,0.11,0.765,0.792,5376.0,-0.1,2.73,0.436162647040756,0.1643528557844371,1.161710211232256,1.86986301369863
K2-158 c,2.18,1.28,5.90279,0.0622,0.92,0.95,5503.0,0.07,2.18,0.33845649360460484,0.10720996964786837,0.771057332863157,1.703125
Kepler-864 c,3.26,1.62,2.42150341,0.0382,1.27,1.195,6213.0,0.36,3.26,0.5132176000679389,0.20951501454263097,0.38408508496345456,2.0123456790123453
TOI-5800 b,9.5,2.46,2.6278838,0.0344,0.778,0.773,4850.0,-0.04,9.5,0.9777236052888477,0.39093510710337914,0.4196061576402112,3.861788617886179
TOI-2803 A b,309.88269682,18.11371281,1.96229325,0.03185,1.118,1.245,6280.0,-0.105,309.88269682,2.491197326851122,1.2580074777922443,0.2927639099450922,17.10763000774329
Kepler-1462 b,14.0,3.82,65.6488341,0.3094,1.0,1.0,5756.0,0.06,14.0,1.146128035678238,0.5820633629117087,1.8172270175780851,3.6649214659685865
HD 191939 b,10.0,3.41,8.8803256,0.0804,0.81,0.94,5348.0,-0.15,10.0,1.0,0.5327543789924978,0.9484288896176689,2.932551319648094
HD 212771 b,759.6137,13.3,380.7,1.19,1.56,5.27,5003.0,-0.21,759.6137,2.880592788846375,1.1238516409670858,2.580582876814367,57.11381203007519
Kepler-1695 b,1.46,1.11948901,4.7329,0.0529,0.96,0.987155,5473.19,-0.0347,1.46,0.1643528557844371,0.04901983447620691,0.6751273284893354,1.3041664428666433
TOI-1782.02,4.04,1.839,1.829024227,0.025739,0.68,0.669,4336.0,,4.04,0.6063813651106049,0.2645817292380775,0.262219458118696,2.196846112017401
WASP-119 b,390.9309,15.6926,2.49979,0.0363,1.02,1.2,5650.0,0.14,390.9309,2.592099999337635,1.1956949048428895,0.39790352640328097,24.911799191975835
Kepler-893 b,9.43,3.03,6.33855761,0.0699,1.0,0.99,5820.0,-0.03,9.43,0.9745116927373284,0.48144262850230496,0.8019904419060162,3.1122112211221125
Kepler-1487 c,48.7,7.97,35.8007112,0.2588,1.801,3.955,5745.0,0.4,48.7,1.6875289612146342,0.9014583213961124,1.5538916542183876,6.1104140526976165
KOI-7913 b,6.08,2.34,24.278553,0.1456,0.76,0.788,4324.0,-0.06,6.08,0.7839035792727349,0.3692158574101428,1.3852227992548691,2.5982905982905984
TOI-1472 c,21.13,3.334,15.5381747,0.116,0.87,0.84,5100.0,0.27,21.13,1.3248994970523134,0.5229655954919865,1.1914000000326528,6.337732453509298
Kepler-1239 b,8.75,2.9,5.19104016,0.0625,1.4,1.57,6564.0,0.22,8.75,0.9420080530223133,0.4623979978989561,0.7152543887707635,3.0172413793103448
Kepler-1902 b,1.74,1.17563613,3.822220087,0.0385,0.52,0.514,3729.0,0.06,1.74,0.24054924828259971,0.07027292447314856,0.5823156905205951,1.4800497837711062
Kepler-297 b,48.5,2.87,38.871826,0.217,0.927,0.915,5619.0,-0.11,48.5,1.6857417386022637,0.4578818967339923,1.5896349420487506,16.898954703832754
Kepler-351 d,7.85,2.72,142.544247,0.5177,0.81,0.78,5225.0,-0.16,7.85,0.8948696567452525,0.43456890403419873,2.153949694135324,2.8860294117647056
K2-136 d,3.0,1.565,25.575,0.1538,0.742,0.677,4500.0,-0.02,3.0,0.47712125471966244,0.19451434188246727,1.4078156423841977,1.9169329073482428
Kepler-789 b,5.14,2.12,8.63847725,0.0951,1.01,1.02,5870.0,-0.06,5.14,0.7109631189952758,0.32633586092875144,0.9364371938439109,2.424528301886792
K2-279 b,1.92,1.21,7.122605,0.067,0.79,0.86,5558.0,-0.37,1.92,0.28330122870354957,0.08278537031645007,0.8526388602399776,1.5867768595041323
nu Oph c,7838.32346,12.0,3180.6,5.829,2.61,12.24,4887.0,0.1,7838.32346,3.8942231813154167,1.0791812460476249,3.50250905461007,653.1936216666667
KOI-1599.02,9.0,1.9,13.6088,0.112293,1.02,0.972,5833.0,0.06,9.0,0.9542425094393249,0.2787536009528289,1.133819831569624,4.736842105263158
HIP 71135 b,18.8,4.55,87.19,0.335,0.66,0.681296,4146.0,,18.8,1.2741578492636798,0.6580113966571124,1.9404666776635289,4.131868131868132
K2-147 b,2.77,1.47286006,0.961939,0.01575,0.563,0.578,3690.0,-0.02,2.77,0.4424797690644486,0.16816148543264847,-0.01685246725881233,1.8806946262090916
Kepler-11 d,7.3,3.12,22.6845,0.155,0.961,1.065,5663.0,0.05,7.3,0.8633228601204559,0.4941545940184428,1.3557292112134942,2.3397435897435894
K2-131 b,7.9,1.69,0.3693038,0.00936,0.803,0.7595,5120.0,-0.04,7.9,0.8976270912904415,0.22788670461367352,-0.43261622359586493,4.674556213017752
Kepler-218 d,7.56,2.66,124.5244647,0.49884,1.01,1.02,5542.0,0.31,7.56,0.8785217955012065,0.424881636631067,2.0952546834834345,2.8421052631578942
TOI-6054.01,12.5,2.64,7.501428,0.0763,1.107,1.662,6047.0,-0.07,12.5,1.0969100130080565,0.42160392686983106,0.8751439451899969,4.734848484848484
Kepler-1937 b,9.39,3.0229133,9.688599586,0.0915,1.19,1.196,6457.0,-0.06,9.39,0.9726655922661109,0.4804256913817396,0.986261007595115,3.106274996375186
HAT-P-56 b,734.1873,16.92559,2.79083,0.0423,1.42,1.47,6566.0,0.0,734.1873,2.865806867790382,1.2285438164578208,0.4457333827765165,43.37735346301075
HD 8574 b,645.1949,13.4,227.0,0.76,1.34,1.38,6064.0,0.01,645.1949,2.8096909258114504,1.1271047983648077,2.3560258571931225,48.148873134328355
HATS-71 b,117.5971,11.478016,3.7955202,0.03745,0.4861,0.4783,3405.0,0.17,117.5971,2.0703966119652324,1.0598668258044635,0.5792713071107873,10.24542046290927
GJ 1061 b,1.11,1.04,3.2073,0.021,0.12,0.156,2953.0,-0.08,1.11,0.045322978786657475,0.01703333929878037,0.506139584266144,1.0673076923076923
Kepler-102 b,1.1,0.46,5.286965,0.05521,0.803,0.724,4909.0,0.11,1.1,0.04139268515822508,-0.3372421683184259,0.7232064353611962,2.391304347826087
Kepler-915 b,2.86,1.5,4.59489604,0.05655,1.21,1.38,6173.0,0.08,2.86,0.456366033129043,0.17609125905568124,0.6622756898755385,1.9066666666666665
TIC 241249530 b,1582.78546686,13.29385111,165.7719,0.641,1.271,1.397,6166.0,0.09,1582.78546686,3.19942205391931,1.1236508104041583,2.219510915181651,119.06147088328568
TOI-5795 b,23.66,5.62,6.1406325,0.064,0.901,1.082,5715.0,-0.27,23.66,1.3740147402919116,0.7497363155690611,0.788213106827224,4.209964412811388
Kepler-1315 b,2.48,1.38,0.84338011,0.01617,0.8,0.75,4861.0,0.07,2.48,0.3944516808262163,0.13987908640123647,-0.07397664545905375,1.7971014492753625
Kepler-1912 b,2.41,1.35670508,6.059219837,0.06489,0.977,0.962,5734.0,0.04,2.41,0.3820170425748684,0.13248545116097887,0.7824167095957263,1.7763624796038946
TOI-1260 c,13.2,2.76,7.493134,0.0657,0.679,0.672,4227.0,-0.1,13.2,1.1205739312058498,0.4409090820652177,0.8746634991722658,4.782608695652174
Kepler-306 e,5.77,2.27,44.840975,0.227,0.75,0.719,4954.0,-0.13,5.77,0.7611758131557314,0.35602585719312274,1.6516750471101862,2.541850220264317
HD 10442 b,472.61321,13.6,1032.3,2.01,1.01,1.97,4912.0,0.11,472.61321,2.6745058564201916,1.1335389083702174,3.0138059273405924,34.75097132352941
Kepler-198 c,6.66,2.47,49.567416,0.259,0.995,0.94,5574.0,0.1142,6.66,0.8234742291703011,0.39269695325966575,1.6951962792805415,2.6963562753036436
Kepler-129 b,20.0,2.4,15.79,0.13,1.178,1.653,5770.0,0.29,20.0,1.3010299956639813,0.38021124171160603,1.1983821300082942,8.333333333333334
Kepler-1549 b,7.13,2.57,214.886545,0.6687,0.88,0.84,5324.0,0.02,7.13,0.8530895298518656,0.4099331233312945,2.3322092232383405,2.77431906614786
HD 8326 b,66.6,9.58,158.991,0.533,0.8,0.783181,4914.0,0.0399,66.6,1.823474229170301,0.9813655090785445,2.2013725409181655,6.951983298538622
Kepler-1800 b,0.961,0.99679734,4.562029839,0.05098,1.33,2.506,5343.0,0.08,0.961,-0.017276612331454656,-0.0013931296183558998,0.6591581215523494,0.9640876449369337
TOI-1742 b,9.7,2.36507598,21.269084,0.154,1.0861,1.131,5815.0,0.193,9.7,0.9867717342662449,0.37384509736334004,1.3277487864560122,4.101348152036959
BD+45 564 b,432.24663352,13.6,307.88,0.83,0.81,0.813064,5004.0,-0.09,432.24663352,2.63573161952981,1.1335389083702174,2.488381477887442,31.7828407
HD 11343 c,255.53403923,13.9,228.53731,0.923,2.009,6.84,4672.0,-0.19,255.53403923,2.407448759911443,1.1430148002540952,2.3589571112084484,18.383743829496403
TOI-2295 b,278.09985612,16.47720163,30.033302,0.1992,1.168,1.459,5730.0,0.316,278.09985612,2.4442007641740977,1.2168834561569815,1.477603083166142,16.877857197162918
Kepler-656 c,2.57,1.41,5.25449393,0.0602,1.05,0.954,5550.0,0.46,2.57,0.4099331233312945,0.14921911265537988,0.7205308946759661,1.822695035460993
Kepler-1941 b,7.51,2.64976949,31.33510017,0.2054,1.175,1.142,6404.0,-0.06,7.51,0.8756399370041684,0.4232080952291582,1.496031087362421,2.8342087975358186
Kepler-1311 d,67.5,9.65837605,197.5110016,0.68434,1.032,1.674,5616.0,0.04,67.5,1.8293037728310249,0.9849041106999152,2.29559129136046,6.9887525242921145
Kepler-1316 b,12.3,3.54,87.9732136,0.39765,1.04,1.12,5884.0,0.03,12.3,1.089905111439398,0.5490032620257879,1.9443504567344025,3.4745762711864407
Kepler-256 d,6.71,2.48,5.839172,0.064,1.037,1.301,5551.0,0.26,6.71,0.8267225201689921,0.3944516808262163,0.7663512681183375,2.7056451612903225
K2-90 c,2.24,1.3,2.900706,0.035,0.704613,0.634754,4421.98,-0.225,2.24,0.35024801833416286,0.11394335230683679,0.462503713274201,1.7230769230769232
HD 11506 d,4068.2036096,12.3,26500.0,18.2,1.22,1.24,6123.0,0.3,4068.2036096,3.609402680807461,1.089905111439398,4.423245873936808,330.7482609430894
Kepler-1118 b,7.95,2.74,38.6715075,0.2079,0.96,0.97,5688.0,0.0,7.95,0.9003671286564703,0.437750562820388,1.5873911021524683,2.901459854014598
K2-247 c,5.43,2.19,6.49424,0.0615,0.74,0.69,4667.0,-0.08,5.43,0.7347998295888469,0.34044411484011833,0.8125283342976308,2.4794520547945207
K2-322 b,4.35,1.92,8.205,0.0594,0.63,0.602,4141.0,,4.35,0.6384892569546373,0.28330122870354957,0.914078585389112,2.265625
HD 141004 b,13.63483866,3.77,15.5083,0.1238,1.051904,1.389372,5885.38,0.0247,13.63483866,1.1346500033347613,0.5763413502057929,1.190564193617374,3.6166680795755966
Kepler-168 c,7.7,2.69,13.193242,0.116,1.113,1.107,6282.0,0.09,7.7,0.8864907251724818,0.42975228000240795,1.1203515286550119,2.862453531598513
GJ 9689 b,9.65,3.07,18.27,0.1139,0.59,0.57,3836.0,0.05,9.65,0.9845273133437926,0.48713837547718647,1.2617385473525378,3.1433224755700326
Kepler-169 d,2.1,1.25,8.348125,0.075,0.825,0.763,4997.0,0.17,2.1,0.3222192947339193,0.09691001300805642,0.9215889433167281,1.6800000000000002
Kepler-191 d,5.82,2.28,5.945041017,0.06104,0.84,0.8,5215.0,-0.05,5.82,0.7649229846498885,0.35793484700045375,0.7741548553206168,2.5526315789473686
K2-8 b,12.5,3.58,10.35239,0.0856,0.78,0.74,4870.0,-0.02,12.5,1.0969100130080565,0.5538830266438743,1.0150406245743855,3.4916201117318435
HATS-33 b,378.85336,13.78707,2.5495551,0.03727,1.062,1.022,5659.0,0.29,378.85336,2.5784711433024547,1.1394719806040494,0.40646440220950225,27.47888855282522
Kepler-1464 b,3.39,1.66,31.7785901,0.20066,1.02,1.01,5828.0,0.03,3.39,0.5301996982030822,0.22010808804005508,1.502134625238483,2.0421686746987953
Kepler-805 b,8.7,2.89,30.8638931,0.19852,1.19,1.65,6112.0,-0.06,8.7,0.9395192526186185,0.4608978427565479,1.4894507060825815,3.0103806228373697
17 Sco b,1373.01871824,12.9,578.38,1.45,1.22,25.92,4157.0,-0.01,1373.01871824,3.137676457974505,1.110589710299249,2.762213266928569,106.43555955348837
Kepler-264 c,8.4,2.83,140.101261,0.566,1.426,1.55,6158.0,0.0469,8.4,0.9242792860618817,0.45178643552429026,2.146442044228509,2.9681978798586575
HR 858 b,3.55,2.004,3.585287,0.04888,1.204,1.258,6354.0,0.025,3.55,0.5502283530550941,0.3018977171952081,0.5545239263991871,1.7714570858283432
